https://www.glassdoor.com/Job/jobs.htm?suggestCount=0&suggestChosen=false&clickSource=searchBtn&typedKeyword=data+scientist&sc.keyword=data+scientist&locT=&locId=&jobType=,Location,Salary,Review,Recency
"CreditCards.com – Austin, TX","Austin, TX",Est. Salary $75k-$113k,4.2,
"SHYFT Analytics – Boston, MA","Boston, MA",Est. Salary $80k-$116k,3.9,
"Collective Health – San Francisco, CA","San Francisco, CA",Est. Salary $108k-$159k,4.3,
"Shutterfly – Redwood City, CA","Redwood City, CA",Est. Salary $116k-$162k,3.1,28 days ago
"BAE Systems – Springfield, VA","Springfield, VA",Est. Salary $78k-$117k,3.5,
"Pluralsight – Farmington, UT","Farmington, UT",Est. Salary $100k-$140k,4.0,
"Novetta – Crystal City, VA","Crystal City, VA",Est. Salary $107k-$157k,3.8,7 days ago
"Availity – Jacksonville, FL","Jacksonville, FL",Est. Salary $105k-$149k,3.4,13 days ago
"Staples – Framingham, MA","Framingham, MA",Est. Salary $93k-$138k,3.2,21 days ago
"Teaching Strategies, LLC – Bethesda, MD","Bethesda, MD",Est. Salary $84k-$121k,3.4,
"Sony PlayStation – Aliso Viejo, CA","Aliso Viejo, CA",Est. Salary $85k-$124k,3.5,19 days ago
"Quora, Inc. – Mountain View, CA","Mountain View, CA",Est. Salary $107k-$155k,4.3,24 days ago
"Priceline.com – Norwalk, CT","Norwalk, CT",Est. Salary $93k-$136k,3.2,10 days ago
"Excella Consulting – Washington, DC","Washington, DC",Est. Salary $92k-$138k,4.4,9 days ago
"AIM Consulting Group, LLC – Minneapolis, MN","Minneapolis, MN",,4.2,20 days ago
"Affirm – San Francisco, CA","San Francisco, CA",Est. Salary $149k-$207k,4.7,19 days ago
"Vantiv – Cincinnati, OH","Cincinnati, OH",Est. Salary $78k-$111k,3.0,
"Opendoor – San Francisco, CA","San Francisco, CA",Est. Salary $138k-$191k,4.7,6 days ago
"Trunk Club – Chicago, IL","Chicago, IL",Est. Salary $72k-$107k,3.3,
"Travelport – Denver, CO","Denver, CO",Est. Salary $107k-$150k,3.5,8 days ago
"SeatGeek – New York, NY","New York, NY",Est. Salary $108k-$162k,4.7,16 days ago
"True Fit – Woburn, MA","Woburn, MA",Est. Salary $70k-$101k,4.3,9 days ago
"Uptake – Chicago, IL","Chicago, IL",Est. Salary $95k-$135k,4.0,28 days ago
"SparkCognition – Austin, TX","Austin, TX",Est. Salary $81k-$137k,5.0,10 days ago
"LeapYear – Berkeley, CA","Berkeley, CA",Est. Salary $113k-$182k,,7 days ago
"Ookla – Seattle, WA","Seattle, WA",Est. Salary $101k-$166k,5.0,21 days ago
"Kabbage – San Francisco, CA","San Francisco, CA",Est. Salary $116k-$161k,4.6,26 days ago
"Knowles – Itasca, IL","Itasca, IL",Est. Salary $107k-$156k,2.9,9 days ago
"Eventbrite – Nashville, TN","Nashville, TN",Est. Salary $63k-$91k,4.1,9 days ago
"Fitch Ratings – New York, NY","New York, NY",Est. Salary $92k-$151k,3.1,10 days ago
"Hulu – Santa Monica, CA","Santa Monica, CA",Est. Salary $95k-$138k,4.1,21 days ago
"Engage3 – Davis, CA","Davis, CA",,4.1,16 days ago
"Brookhaven LAB – Upton, NY","Upton, NY",Est. Salary $75k-$115k,3.4,22 days ago
"Wake Forest University – Winston-Salem, NC","Winston-Salem, NC",Est. Salary $44k-$68k,3.9,
"The Climate Corp – Saint Louis, MO","Saint Louis, MO",Est. Salary $96k-$136k,3.7,
"Schireson Associates – New York, NY","New York, NY",Est. Salary $84k-$132k,5.0,28 days ago
"BitSight – Cambridge, MA","Cambridge, MA",Est. Salary $88k-$126k,4.3,6 days ago
"BombBomb – Colorado Springs, CO","Colorado Springs, CO",Est. Salary $71k-$109k,4.6,
"Aruba Networks – Santa Clara, CA","Santa Clara, CA",Est. Salary $124k-$173k,3.6,
"GameChanger – New York, NY","New York, NY",Est. Salary $95k-$144k,4.8,28 days ago
"7Park Data – New York, NY","New York, NY",Est. Salary $75k-$120k,3.4,
"PennWell Corporation – Tulsa, OK","Tulsa, OK",Est. Salary $57k-$88k,3.6,
"E-Primary – Radnor, PA","Radnor, PA",Est. Salary $67k-$107k,,4 days ago
"RealSelf – Seattle, WA","Seattle, WA",Est. Salary $109k-$156k,4.4,15 days ago
"KG Workforce Solutions – Columbia, SC","Columbia, SC",Est. Salary $69k-$119k,5.0,6 days ago
"Ford Motor Company – Dearborn, MI","Dearborn, MI",Est. Salary $81k-$120k,3.9,Today
"Intersys – Richmond, VA","Richmond, VA",Est. Salary $70k-$104k,3.8,
"Remind – San Francisco, CA","San Francisco, CA",Est. Salary $100k-$140k,4.7,10 days ago
"Rocket Wagon – Chicago, IL","Chicago, IL",Est. Salary $70k-$110k,5.0,
"AutoGravity Corporation – Irvine, CA","Irvine, CA",Est. Salary $101k-$146k,4.9,13 days ago
"Yieldbot – Portland, OR","Portland, OR",Est. Salary $87k-$136k,4.0,17 days ago
"TalentRISE – Chicago, IL","Chicago, IL",,4.2,
"Via Transportation (New York) – New York, NY","New York, NY",Est. Salary $79k-$117k,4.4,
"Lockheed Martin – Fort Worth, TX","Fort Worth, TX",Est. Salary $75k-$113k,3.7,27 days ago
"SpaceX – Hawthorne, CA","Hawthorne, CA",Est. Salary $79k-$117k,4.4,7 days ago
"1100 Charlotte – Nashville, TN","Nashville, TN",,,
"Domo – Salt Lake City, UT","Salt Lake City, UT",Est. Salary $88k-$125k,4.3,21 days ago
"Credit Sesame – San Francisco, CA","San Francisco, CA",Est. Salary $118k-$168k,3.9,21 days ago
"CACI International – Reston, VA","Reston, VA",Est. Salary $102k-$150k,3.5,13 days ago
"Foursquare – New York, NY","New York, NY",Est. Salary $100k-$147k,4.5,Today
"JetSmarter – Fort Lauderdale, FL","Fort Lauderdale, FL",Est. Salary $75k-$114k,4.1,6 days ago
"tronc – Chicago, IL","Chicago, IL",Est. Salary $75k-$115k,2.9,16 days ago
"Credit Karma – San Francisco, CA","San Francisco, CA",Est. Salary $124k-$172k,3.5,14 days ago
"Tapad – New York, NY","New York, NY",Est. Salary $117k-$176k,4.1,28 days ago
"Saxon Global – Chesterbrook, PA","Chesterbrook, PA",Est. Salary $87k-$132k,4.3,8 days ago
"TrueCar – Santa Monica, CA","Santa Monica, CA",Est. Salary $111k-$159k,4.1,6 days ago
"Deloitte – Arlington, VA","Arlington, VA",Est. Salary $117k-$175k,3.8,5 days ago
"First Orion – Little Rock, AR","Little Rock, AR",Est. Salary $53k-$94k,5.0,10 days ago
"Pinterest – San Francisco, CA","San Francisco, CA",Est. Salary $144k-$199k,3.9,4 days ago
"Zimmerman Advertising – Dallas, TX","Dallas, TX",Est. Salary $67k-$103k,3.7,9 days ago
"Vistar Media – New York, NY","New York, NY",Est. Salary $77k-$115k,4.5,19 days ago
"Aviva – Norwich, CT","Norwich, CT",Est. Salary $82k-$122k,3.4,7 days ago
"Crescent Solutions – Las Vegas, NV","Las Vegas, NV",,4.0,
"iSpace – Aliso Viejo, CA","Aliso Viejo, CA",Est. Salary $81k-$122k,3.7,
"Digital Reasoning – Franklin, TN","Franklin, TN",Est. Salary $81k-$126k,3.7,7 days ago
"CodeFights – San Francisco, CA","San Francisco, CA",Est. Salary $113k-$182k,5.0,
"Star Tribune – Minneapolis, MN","Minneapolis, MN",Est. Salary $95k-$141k,3.1,
"Square – San Francisco, CA","San Francisco, CA",Est. Salary $124k-$172k,4.4,6 days ago
"KPMG US – Knoxville, TN","Knoxville, TN",Est. Salary $57k-$89k,3.9,14 days ago
Clear Peak – United States,United States,Est. Salary $86k-$123k,3.4,23 days ago
"Hyperloop One – Los Angeles, CA","Los Angeles, CA",Est. Salary $87k-$129k,4.5,5 days ago
"Spotify – Boston, MA","Boston, MA",Est. Salary $124k-$176k,4.3,
"Granular – San Francisco, CA","San Francisco, CA",Est. Salary $122k-$169k,4.3,13 days ago
"Booz Allen Hamilton – Washington, DC","Washington, DC",Est. Salary $83k-$127k,3.6,
"Entergy – Laredo, TX","Laredo, TX",Est. Salary $70k-$110k,3.5,5 days ago
"ORS Partners – Phoenix, AZ","Phoenix, AZ",Est. Salary $95k-$138k,4.2,24 days ago
"The Hartford – Hartford, CT","Hartford, CT",Est. Salary $72k-$109k,3.2,7 days ago
"Microsoft – Redmond, WA","Redmond, WA",Est. Salary $113k-$155k,4.0,
"IgnitionOne – Atlanta, GA","Atlanta, GA",Est. Salary $67k-$101k,3.5,
"Hello Innovation – Detroit, MI","Detroit, MI",Est. Salary $59k-$93k,3.9,21 days ago
"TrueMotion – Boston, MA","Boston, MA",Est. Salary $98k-$140k,4.9,
"Qventus – Mountain View, CA","Mountain View, CA",Est. Salary $110k-$181k,5.0,27 days ago
"Evans & Chambers Technology – Washington, DC","Washington, DC",Est. Salary $84k-$141k,5.0,
"Berico Technologies – Gaithersburg, MD","Gaithersburg, MD",Est. Salary $87k-$130k,3.2,
"OutMatch – Dallas, TX","Dallas, TX",Est. Salary $83k-$122k,4.4,21 days ago
"Central Intelligence Agency – Washington, DC","Washington, DC",Est. Salary $84k-$126k,3.7,16 days ago
"LHP Engineering Resource Division – Columbus, IN","Columbus, IN",,,
"Brunel – Netherlands, MO","Netherlands, MO",,3.2,
"Logic20/20 – Seattle, WA","Seattle, WA",Est. Salary $96k-$142k,3.9,
"Panjiva – Cambridge, MA","Cambridge, MA",Est. Salary $58k-$89k,4.2,
Toptal – United States,United States,Est. Salary $67k-$99k,4.5,9 days ago
"USAA – San Antonio, TX","San Antonio, TX",Est. Salary $71k-$107k,3.7,13 days ago
"Owens Corning – Granville, OH","Granville, OH",Est. Salary $95k-$141k,3.8,21 days ago
"NBCNEWS.com – Universal City, CA","Universal City, CA",Est. Salary $131k-$192k,3.0,
"Supercell – San Francisco, CA","San Francisco, CA",Est. Salary $98k-$137k,4.4,28 days ago
"Cummins – Columbus, IN","Columbus, IN",Est. Salary $77k-$117k,3.7,
"Federal Reserve Board – Washington, DC","Washington, DC",Est. Salary $73k-$110k,4.1,9 days ago
"BrainWorks (New Jersey) – Kansas City, MO","Kansas City, MO",Est. Salary $65k-$97k,2.9,19 days ago
"Convoy – Seattle, WA","Seattle, WA",Est. Salary $85k-$123k,5.0,7 days ago
"Scadea – Wayne, PA","Wayne, PA",Est. Salary $68k-$105k,3.5,8 days ago
"Proliance Consulting – Seattle, WA","Seattle, WA",Est. Salary $84k-$127k,4.9,6 days ago
"Katerra – Atlanta, GA","Atlanta, GA",Est. Salary $71k-$122k,4.4,10 days ago
Foot Locker – United States,United States,Est. Salary $90k-$138k,3.4,10 days ago
"WhatsApp – Menlo Park, CA","Menlo Park, CA",Est. Salary $98k-$137k,4.0,7 days ago
"Cerner – Kansas City, MO","Kansas City, MO",Est. Salary $61k-$95k,3.6,6 days ago
"nFUZION – Louisville, KY","Louisville, KY",Est. Salary $63k-$95k,,13 days ago
"The Goal Inc – Washington, DC","Washington, DC",,4.4,
"Oracle – Broomfield, CO","Broomfield, CO",Est. Salary $77k-$116k,3.4,23 days ago
"Boston Scientific – Maple Grove, MN","Maple Grove, MN",Est. Salary $71k-$110k,3.9,21 days ago
"Wheelhouse (California) – San Francisco, CA","San Francisco, CA",Est. Salary $113k-$182k,5.0,5 days ago
"IFTTT – San Francisco, CA","San Francisco, CA",Est. Salary $106k-$153k,4.4,
"Chubb Corp – Whitehouse Station, NJ","Whitehouse Station, NJ",Est. Salary $112k-$167k,3.3,27 days ago
"Dstillery – New York, NY","New York, NY",Est. Salary $115k-$167k,4.2,
"Snap Inc. – Los Angeles, CA","Los Angeles, CA",Est. Salary $119k-$170k,4.2,27 days ago
"KPMG US – Chicago, IL","Chicago, IL",Est. Salary $82k-$125k,3.9,
"Capital One – New York, NY","New York, NY",Est. Salary $94k-$144k,3.8,6 days ago
"Dataminr – New York, NY","New York, NY",Est. Salary $85k-$130k,4.6,9 days ago
"Bloomingdale's – New York, NY","New York, NY",Est. Salary $104k-$158k,3.0,7 days ago
"Expedia – Chicago, IL","Chicago, IL",Est. Salary $99k-$139k,3.9,26 days ago
"Hasbro, Inc. – Pawtucket, RI","Pawtucket, RI",Est. Salary $88k-$130k,3.7,28 days ago
"IBM – Dallas, TX","Dallas, TX",Est. Salary $70k-$103k,3.5,6 days ago
"Houston Methodist – Houston, TX","Houston, TX",Est. Salary $72k-$110k,3.9,14 days ago
"Bayes Impact – San Francisco, CA","San Francisco, CA",Est. Salary $93k-$135k,5.0,22 days ago
"DuPont Performance Elastomers – Johnston, IA","Johnston, IA",Est. Salary $54k-$83k,5.0,14 days ago
"IntraEdge – Phoenix, AZ","Phoenix, AZ",Est. Salary $78k-$119k,3.8,7 days ago
"Sensor Tower – San Francisco, CA","San Francisco, CA",Est. Salary $97k-$137k,4.7,13 days ago
"Ibotta – Denver, CO","Denver, CO",Est. Salary $76k-$110k,4.4,20 days ago
"CSI Tech – Tampa, FL","Tampa, FL",Est. Salary $61k-$97k,4.6,15 days ago
"Greenfield Advisors – Seattle, WA","Seattle, WA",Est. Salary $86k-$132k,3.0,7 days ago
"Mux – San Francisco, CA","San Francisco, CA",Est. Salary $112k-$181k,5.0,19 days ago
"ICUBE Consultancy Services – Jacksonville, FL","Jacksonville, FL",Est. Salary $98k-$152k,3.7,
"Epiworks – Champaign, IL","Champaign, IL",Est. Salary $65k-$100k,5.0,23 days ago
"Bankrate – Austin, TX","Austin, TX",Est. Salary $77k-$113k,2.9,
"BP – Houston, TX","Houston, TX",Est. Salary $91k-$140k,3.7,7 days ago
"Walmart eCommerce – San Bruno, CA","San Bruno, CA",Est. Salary $126k-$172k,3.2,
"Komodo Health – San Francisco, CA","San Francisco, CA",Est. Salary $112k-$181k,4.1,10 days ago
"Schaeffler Group – Fort Mill, SC","Fort Mill, SC",Est. Salary $73k-$111k,3.2,
"6sense – San Francisco, CA","San Francisco, CA",Est. Salary $129k-$180k,4.3,
"Avenue Code – San Francisco, CA","San Francisco, CA",Est. Salary $117k-$162k,4.3,22 days ago
"Kforce – Saint Louis, MO","Saint Louis, MO",,3.1,
"Under Armour – Austin, TX","Austin, TX",Est. Salary $72k-$108k,3.7,15 days ago
"ManTech International – Stafford, VA","Stafford, VA",Est. Salary $80k-$120k,3.3,9 days ago
"General Dynamics Information Technology – Springfield, VA","Springfield, VA",Est. Salary $68k-$103k,3.3,15 days ago
"Johns Hopkins University Applied Physics Laboratory – Laurel, MD","Laurel, MD",Est. Salary $79k-$119k,4.2,10 days ago
"Zolon Tech – Irving, TX","Irving, TX",Est. Salary $93k-$137k,3.4,7 days ago
"Cargill – Minneapolis, MN","Minneapolis, MN",Est. Salary $94k-$139k,3.4,7 days ago
"InfiCare Technologies – Raleigh, NC","Raleigh, NC",Est. Salary $79k-$120k,3.4,27 days ago
"JobJuncture – Duluth, GA","Duluth, GA",Est. Salary $65k-$99k,5.0,18 days ago
"SolarWinds – Austin, TX","Austin, TX",Est. Salary $88k-$125k,2.9,
"Nielsen – Tampa, FL","Tampa, FL",Est. Salary $53k-$81k,3.6,17 days ago
"Liftoff – Palo Alto, CA","Palo Alto, CA",Est. Salary $92k-$132k,4.9,
"QuantumBlack – Boston, MA","Boston, MA",Est. Salary $88k-$148k,4.5,10 days ago
"Schlumberger – Houston, TX","Houston, TX",Est. Salary $92k-$140k,3.5,15 days ago
"First Orion – Little Rock, AR","Little Rock, AR",Est. Salary $69k-$118k,5.0,10 days ago
"Zusys Inc – Dallas, TX","Dallas, TX",Est. Salary $75k-$118k,,22 days ago
"Transdev – Tempe, AZ","Tempe, AZ",Est. Salary $60k-$96k,3.1,9 days ago
"Dropbox – San Francisco, CA","San Francisco, CA",Est. Salary $121k-$170k,4.2,24 days ago
"FGM Inc – Arlington, VA","Arlington, VA",Est. Salary $62k-$90k,3.7,5 days ago
"Fabergent USA – Chicago, IL","Chicago, IL",Est. Salary $64k-$103k,4.8,6 days ago
"The CRS Group – Gladstone, NJ","Gladstone, NJ",,4.5,
"vTech Solution – Washington, DC","Washington, DC",Est. Salary $80k-$121k,4.3,
"Leidos – McLean, VA","McLean, VA",Est. Salary $73k-$110k,3.4,6 days ago
"St. Jude Children's Research Hospital – Memphis, TN","Memphis, TN",Est. Salary $64k-$98k,4.6,13 days ago
"TextNow – San Francisco, CA","San Francisco, CA",Est. Salary $100k-$140k,4.1,8 days ago
"Lawrence Livermore National Laboratory – Livermore, CA","Livermore, CA",Est. Salary $121k-$173k,4.4,23 days ago
"E.A. Renfroe & Company – Hoover, AL","Hoover, AL",Est. Salary $65k-$98k,3.6,17 days ago
"Autolist – San Francisco, CA","San Francisco, CA",Est. Salary $94k-$135k,5.0,22 days ago
"BuzzFeed – New York, NY","New York, NY",Est. Salary $88k-$134k,3.4,5 days ago
"Datadog – New York, NY","New York, NY",Est. Salary $113k-$165k,4.6,21 days ago
"Coca-Cola Company – Atlanta, GA","Atlanta, GA",Est. Salary $71k-$108k,3.5,27 days ago
"Mosaic Solutions, Inc. – Charlotte, NC","Charlotte, NC",Est. Salary $69k-$108k,5.0,26 days ago
"University of Pennsylvania – Philadelphia, PA","Philadelphia, PA",Est. Salary $53k-$83k,4.1,19 days ago
"IHS Global – Washington, CT","Washington, CT",Est. Salary $78k-$119k,3.1,26 days ago
"About – New York, NY","New York, NY",Est. Salary $103k-$152k,3.3,8 days ago
"Countr (NY) – New York, NY","New York, NY",Est. Salary $90k-$153k,,7 days ago
"JW Player – New York, NY","New York, NY",Est. Salary $88k-$131k,4.4,17 days ago
"Airbnb – San Francisco, CA","San Francisco, CA",Est. Salary $124k-$176k,3.8,21 days ago
"TripAdvisor – Needham, MA","Needham, MA",Est. Salary $119k-$170k,3.4,9 days ago
"Grand Rounds – San Francisco, CA","San Francisco, CA",Est. Salary $125k-$174k,4.4,9 days ago
"SpecTIR – Denver, CO","Denver, CO",Est. Salary $83k-$131k,4.2,
"Feedzai – San Mateo, CA","San Mateo, CA",Est. Salary $116k-$161k,4.7,12 days ago
"CGI Group Inc. – Fairfax, VA","Fairfax, VA",Est. Salary $85k-$128k,3.4,
"Marqeta – Oakland, CA","Oakland, CA",Est. Salary $100k-$140k,4.9,5 days ago
"Showtime Networks – New York, NY","New York, NY",Est. Salary $90k-$140k,3.4,16 days ago
"Cameron Craig Group – Duluth, GA","Duluth, GA",Est. Salary $58k-$93k,5.0,18 days ago
"Scribd – San Francisco, CA","San Francisco, CA",Est. Salary $132k-$183k,3.8,7 days ago
"PROS – Houston, TX","Houston, TX",Est. Salary $87k-$123k,3.6,8 days ago
"NIO – San Jose, CA","San Jose, CA",Est. Salary $153k-$214k,4.2,7 days ago
"Lyft – San Francisco, CA","San Francisco, CA",Est. Salary $128k-$177k,3.9,21 days ago
"IT Corpz – Plano, TX","Plano, TX",Est. Salary $78k-$133k,4.6,
"EcoSense Lighting – Los Angeles, CA","Los Angeles, CA",Est. Salary $79k-$123k,4.3,20 days ago
"Fareportal Inc. – New York, NY","New York, NY",Est. Salary $91k-$138k,3.7,5 days ago
"Axelon, Inc. – Peapack, NJ","Peapack, NJ",Est. Salary $84k-$128k,4.0,6 days ago
"Pymetrics – New York, NY","New York, NY",Est. Salary $74k-$114k,4.5,6 days ago
"ALEX – Springfield, VA","Springfield, VA",Est. Salary $73k-$111k,3.9,
"MacB – Linthicum Heights, MD","Linthicum Heights, MD",Est. Salary $85k-$127k,3.5,6 days ago
"Enigma – New York, NY","New York, NY",Est. Salary $77k-$115k,4.1,9 days ago
GavinHeath – United States,United States,Est. Salary $60k-$97k,5.0,24 days ago
"ThyssenKrupp North America, Inc. – Southfield, MI","Southfield, MI",Est. Salary $73k-$111k,3.4,21 days ago
iBOOD – United States,United States,Est. Salary $73k-$111k,,6 days ago
"Spring – New York, NY","New York, NY",Est. Salary $95k-$144k,4.5,17 days ago
"AdTheorent – New York, NY","New York, NY",Est. Salary $76k-$120k,4.0,14 days ago
"S&P Global – Charlottesville, VA","Charlottesville, VA",Est. Salary $82k-$125k,3.4,20 days ago
"NBCUniversal – New York, NY","New York, NY",Est. Salary $95k-$149k,3.8,
"Averity – New York, NY","New York, NY",,5.0,
"Principle Solutions Group – Atlanta, GA","Atlanta, GA",,4.3,
"Home Depot – Atlanta, GA","Atlanta, GA",Est. Salary $91k-$137k,3.5,16 days ago
"TalentBurst – San Francisco, CA","San Francisco, CA",,4.6,
"Eclaro International – Duluth, GA","Duluth, GA",,4.2,
AVL – United States,United States,Est. Salary $68k-$106k,4.1,24 days ago
"TSheets – Boise, ID","Boise, ID",Est. Salary $73k-$108k,4.6,10 days ago
"C3 IoT – Redwood City, CA","Redwood City, CA",Est. Salary $134k-$185k,4.9,
"CKM Advisors – New York, NY","New York, NY",Est. Salary $84k-$132k,4.6,9 days ago
CareMessage – United States,United States,Est. Salary $65k-$97k,,
"Vizual.AI – Baltimore, MD","Baltimore, MD",,,9 days ago
"Facebook – Menlo Park, CA","Menlo Park, CA",Est. Salary $124k-$178k,4.6,12 days ago
"LogRhythm – Boulder, CO","Boulder, CO",Est. Salary $78k-$111k,3.9,6 days ago
Dailymotion – United States,United States,Est. Salary $87k-$127k,3.9,15 days ago
"Xaxis – New York, NY","New York, NY",Est. Salary $105k-$160k,2.7,
"Trident Technical Solutions, LLC – Washington, DC","Washington, DC",Est. Salary $68k-$109k,5.0,7 days ago
"Analysis Group – Boston, MA","Boston, MA",Est. Salary $108k-$158k,3.8,28 days ago
"Yelp – San Francisco, CA","San Francisco, CA",Est. Salary $105k-$147k,3.3,28 days ago
"Jo-Ann Fabrics – Hudson, OH","Hudson, OH",Est. Salary $75k-$117k,2.7,5 days ago
"Postmates – San Francisco, CA","San Francisco, CA",Est. Salary $96k-$134k,3.1,24 days ago
"eero – San Francisco, CA","San Francisco, CA",Est. Salary $97k-$137k,4.0,8 days ago
"Vettery – New York, NY","New York, NY",Est. Salary $78k-$120k,4.6,8 days ago
"Sony Pictures Entertainment – Culver City, CA","Culver City, CA",Est. Salary $97k-$146k,3.4,10 days ago
"Epitec, Inc. – Dearborn, MI","Dearborn, MI",Est. Salary $56k-$86k,3.2,25 days ago
"NVIDIA – Santa Clara, CA","Santa Clara, CA",Est. Salary $124k-$172k,4.4,27 days ago
"Robert Half Technology – Houston, TX","Houston, TX",Est. Salary $88k-$137k,2.9,5 days ago
"Techtanium Services Inc. – Glen Allen, VA","Glen Allen, VA",,,
"ZeniMax Media – Rockville, MD","Rockville, MD",Est. Salary $81k-$119k,3.6,6 days ago
"University of Utah – Salt Lake City, UT","Salt Lake City, UT",Est. Salary $46k-$72k,4.1,7 days ago
"Impact Radius – New York, NY","New York, NY",Est. Salary $70k-$104k,3.9,6 days ago
"Epsilon – Chicago, IL","Chicago, IL",Est. Salary $107k-$159k,3.2,9 days ago
"Intuit – San Diego, CA","San Diego, CA",Est. Salary $105k-$149k,4.2,20 days ago
"ThinkingAhead – Philadelphia, PA","Philadelphia, PA",,5.0,
"SignalFx – San Mateo, CA","San Mateo, CA",Est. Salary $97k-$137k,4.8,9 days ago
"Express – Columbus, OH","Columbus, OH",Est. Salary $82k-$127k,3.3,20 days ago
"Adobe – San Jose, CA","San Jose, CA",Est. Salary $136k-$190k,4.1,14 days ago
"1st Merchant Funding – Miami, FL","Miami, FL",Est. Salary $71k-$108k,3.8,21 days ago
"Meetup – New York, NY","New York, NY",Est. Salary $82k-$123k,4.1,28 days ago
"Walt Disney Company – Burbank, CA","Burbank, CA",Est. Salary $92k-$139k,3.9,27 days ago
"LexisNexis – Raleigh, NC","Raleigh, NC",Est. Salary $78k-$110k,3.1,6 days ago
"DuPont™ Danisco® – Johnston, RI","Johnston, RI",Est. Salary $72k-$108k,3.2,18 days ago
"Mainz Brady Group – San Francisco, CA","San Francisco, CA",Est. Salary $115k-$160k,4.5,
"VideoAmp – Santa Monica, CA","Santa Monica, CA",Est. Salary $99k-$152k,4.9,26 days ago
"Deluxe Corporation – Boca Raton, FL","Boca Raton, FL",Est. Salary $72k-$104k,2.9,9 days ago
"DuPont – Johnston, IA","Johnston, IA",Est. Salary $99k-$149k,3.4,14 days ago
"Skillz Inc. – San Francisco, CA","San Francisco, CA",Est. Salary $110k-$154k,3.6,27 days ago
"University of Chicago – Chicago, IL","Chicago, IL",Est. Salary $56k-$87k,3.8,9 days ago
"Tenor – San Francisco, CA","San Francisco, CA",Est. Salary $97k-$137k,,
"Tripping – San Francisco, CA","San Francisco, CA",Est. Salary $94k-$135k,4.4,15 days ago
"MDA Corporation – Springfield, VA","Springfield, VA",Est. Salary $80k-$119k,3.6,5 days ago
"Orbital Insight – Mountain View, CA","Mountain View, CA",Est. Salary $102k-$145k,4.9,7 days ago
